10000 100000
7272 921 68
3985 1631 75
1627 943 38
5151 2321 79
3999 3326 27
6574 1453 73
5653 5305 5
4812 5533 49
6145 4508 19
5760 3139 100
3534 1168 39
2036 839 89
7354 6123 50
1323 2601 77
8152 6064 76
4119 1527 97
1266 1070 99
6336 5378 85
724 1588 14
5174 7946 67
6955 5176 6
7353 5371 73
8763 1349 26
5138 7893 41
212 1995 62
6471 8924 22
5195 5616 39
813 280 21
5874 4258 44
2955 7201 88
5862 2482 96
4518 8679 74
6142 6916 73
456 7416 31
3331 1480 71
4658 963 85
102 4079 1
5544 5985 43
3282 1023 21
4846 309 64
130 4615 49
8924 9672 82
189 6356 15
6925 5082 25
2825 8542 91
4980 3645 47
1002 4180 37
9947 8514 54
5232 7325 7
7070 7535 82
6924 4435 29
9424 7577 84
4175 3517 40
132 9786 52
7008 2930 13
4297 523 37
7662 2479 57
4164 2971 17
2106 3529 61
5540 5981 30
3724 7108 5
6814 4528 55
1610 7006 70
3117 3296 33
5457 7997 14
7330 2407 96
992 1074 6
6860 1231 3
6024 9029 67
9884 3143 31
2494 6057 23
6824 5114 96
6867 6783 96
2847 5611 13
1249 3134 44
8648 1513 94
4215 3092 66
9955 593 97
5886 7918 40
6961 4890 21
2534 2293 72
893 9928 71
4117 2333 29
3367 178 23
1008 2225 95
8436 3660 94
4084 8432 1
741 9821 94
7136 6569 74
6750 1941 89
6506 9421 67
9330 1924 12
372 5374 20
1580 2013 57
1588 3397 88
5159 6572 42
4448 8135 42
6422 5893 89
7703 7842 74
5226 5817 29
6560 638 36
178 2700 94
1739 9526 66
4193 8178 72
8911 5686 26
3782 4101 64
4321 9728 8
319 1353 36
2892 4208 10
6129 4563 40
3738 5133 65
1721 1741 77
145 3332 23
7408 9359 49
8078 3349 20
8173 8399 4
9253 2034 75
1735 3725 51
7867 7603 37
3525 6309 57
7981 5492 54
9947 5915 24
8550 9049 18
2925 9354 62
9300 2399 68
6706 6641 6
7832 327 94
2985 7855 71
3091 1610 94
7211 5236 38
8335 8109 21
3933 5522 39
2846 6622 89
9218 1083 32
3475 6750 56
8821 8440 67
3254 3888 87
7422 6509 28
3732 1067 95
3732 5346 3
4326 6899 24
2436 6858 67
6903 2142 14
1808 5922 12
3829 9501 55
7041 1824 70
6796 4529 49
6971 2791 37
6758 234 31
2299 5825 73
2740 7173 10
5911 1636 36
802 8549 93
1630 636 60
6265 5252 48
1323 2613 95
6783 518 92
8929 8905 19
9255 1088 57
2643 2912 43
3925 7835 12
8919 7718 19
2046 2794 34
4100 6830 7
8780 3057 83
5204 8313 7
6442 3550 50
2920 9382 20
7190 158 21
7031 6712 39
6971 4711 88
6372 8728 44
90 8327 39
7771 5426 51
7088 5578 38
3533 2331 10
1722 3895 88
6077 3748 87
3761 1111 94
3916 5953 46
8440 9007 77
2626 469 45
7123 7040 47
4219 1164 14
3011 1715 81
666 6433 1
8328 7098 44
9219 1290 58
4979 721 89
2570 287 63
953 6718 31
1909 8557 100
3192 4189 4
1268 7746 84
7306 4717 95
8257 4894 55
2192 2092 74
227 1307 65
4882 1600 15
9657 3364 57
8428 8073 44
5071 6127 24
7819 6209 63
6251 107 53
3385 5638 82
6039 5645 87
8813 5342 27
381 966 89
128 4028 8
3439 9748 9
6647 9800 20
2728 4507 84
1376 5116 76
7859 4518 98
708 3721 98
6356 4438 49
1655 3685 10
8916 8225 32
2344 6749 88
236 6690 58
9822 4457 31
4477 8976 86
4423 4777 14
9049 3902 56
1175 9516 42
6910 4927 100
8535 9961 77
3401 2339 77
4435 9006 47
688 2961 52
7897 1196 32
3300 521 99
7795 5142 90
4813 3585 24
5284 1000 97
2352 5824 71
7902 9056 28
6125 3628 18
2006 4251 46
762 5150 31
2144 503 59
6649 507 26
1806 7132 48
3926 1721 10
1936 3801 64
7282 3916 45
9338 2337 11
1471 6801 74
6575 8055 47
7560 4070 70
3588 8143 55
2652 1459 2
9126 7092 1
4251 4469 42
9875 9836 55
5876 1574 99
5364 9507 89
7869 2230 29
6699 6906 58
9604 4205 47
8250 5386 62
8496 4771 71
777 1035 45
7270 9700 87
3884 9201 74
9065 7335 93
469 102 18
2037 5428 97
3964 284 65
2366 408 59
5050 5547 61
9764 940 41
8898 653 58
66 3143 72
4086 9239 98
6931 5085 33
6682 7153 6
4257 9823 98
5416 366 43
6708 9040 63
7057 5819 68
9691 7036 25
7635 2781 58
9381 7285 80
7860 4562 36
2623 8982 11
399 629 87
2088 4785 37
1654 457 12
4454 6454 92
2567 4135 38
3850 9759 57
97 9906 19
4938 4490 49
6399 4547 89
4515 5054 5
6505 5807 58
9432 8795 14
3549 6884 36
679 4137 43
6994 8405 7
2691 1431 44
6981 7960 52
9541 5710 37
9240 6794 33
3643 6594 27
7211 8168 47
5073 2059 7
1999 6118 12
9072 2713 81
5 7076 15
7126 5818 19
7581 3369 89
2534 2230 46
8608 5765 88
2491 1267 73
1864 755 35
681 5756 94
5033 8992 2
7912 1772 56
9109 5166 89
932 4832 11
7555 6817 35
4022 6167 51
6975 5808 93
7030 7579 27
5146 2016 65
4255 7926 36
8232 3235 24
999 3218 85
8261 6686 33
3879 3469 63
8674 6162 81
9103 6517 16
581 6999 72
5335 5900 21
7718 157 92
7766 329 13
8977 5521 69
7422 117 35
5467 4010 10
5061 7901 35
4116 3801 35
2888 6156 16
8927 5725 68
1638 7776 24
8159 5961 57
3405 8747 34
5502 7250 91
3303 9480 95
3290 4162 68
4290 4161 26
3447 2886 99
6714 6417 16
3830 6652 30
6362 9405 68
1730 7139 83
8130 9014 63
9790 969 30
3901 8372 96
9619 7421 37
8503 5345 97
6743 530 93
6152 6552 46
2190 140 100
3786 7918 48
8000 7220 90
1830 9616 93
608 1248 27
7793 6391 43
9972 1222 80
5143 3402 28
8693 8732 36
777 701 38
8602 3931 51
437 121 11
3396 5974 81
2016 3890 70
5872 239 48
9470 6289 98
9221 4869 60
5278 9479 63
2271 9046 62
4317 2736 6
8681 4765 47
8053 454 29
3592 4018 14
9699 7996 84
8693 4025 37
5324 4615 90
9830 7938 92
7103 6074 66
2264 9023 52
4314 4746 52
1917 2082 46
3891 8213 46
5865 7641 35
4058 7333 2
181 7909 94
1382 600 63
7847 282 57
2468 1421 7
5155 936 85
462 563 81
775 5509 3
7948 3578 73
2819 2747 57
2074 9382 41
2152 14 20
2492 6671 63
2422 115 19
6269 4946 51
9843 7065 10
2704 4353 71
7714 6635 23
4909 166 7
6824 3018 49
8720 1617 65
2400 4 77
9172 3157 76
3638 5750 38
1257 6715 72
7741 615 75
5496 8837 27
1351 8710 80
2969 5139 49
9219 8989 80
2867 1224 80
2990 2986 80
7817 3619 61
607 1664 11
452 3952 64
659 3660 44
2089 8568 88
5189 6343 37
8218 1688 72
5916 1609 95
9653 241 62
4552 6651 37
7527 7269 20
9926 6498 85
3580 4147 63
5378 175 40
4813 3247 13
4917 4407 8
1099 9279 99
3249 8907 85
3663 5660 60
8822 3342 14
1542 6168 67
7746 576 11
7678 3843 10
9925 8751 18
467 3014 95
8688 848 8
664 8918 39
3662 5995 8
3332 9354 16
2330 8744 7
8769 3315 20
333 1325 8
8847 2479 75
6438 3015 66
9974 1541 60
2389 135 45
8755 4316 63
1560 2484 94
174 3074 37
8675 81 64
4471 6444 59
1210 8423 74
3581 9311 58
8350 3288 71
7362 8827 47
8203 6032 18
1646 288 37
2036 2062 9
5502 8949 78
4037 8989 5
6385 3291 81
2429 5812 33
3226 3538 54
4119 739 18
9986 6118 54
9571 9775 81
1796 9989 84
7365 714 63
6878 9969 87
9936 5240 99
1482 8140 49
753 780 3
3451 586 62
5858 2320 46
7734 9814 100
3162 1613 38
6093 7304 54
6146 9596 56
1725 1466 46
2467 2353 34
5215 2866 66
7954 3058 22
680 3441 11
3720 5437 81
1620 9533 98
7977 8723 21
2168 1136 47
2526 6077 98
3440 1392 9
374 1380 1
8346 8686 69
2181 3821 26
6422 8423 53
1273 6885 43
301 5903 30
8770 4132 2
8345 2058 94
5089 3194 22
2236 8649 66
9446 6491 44
2810 7194 98
8345 4066 45
3792 6226 22
1221 9245 8
5770 2450 32
8638 9451 75
9481 1762 41
377 3631 65
7923 8736 82
5916 9785 62
7964 7390 1
1747 7785 16
2689 2256 23
1157 15 37
2071 4121 7
9608 1899 5
4996 1734 67
7726 9826 81
7214 719 33
3962 2413 65
4069 9940 14
1721 2970 9
2916 6640 79
9157 9782 36
9905 1552 85
6131 8161 82
3565 2919 57
2202 1799 13
6731 3362 6
9699 3902 98
1149 6783 91
5728 1060 30
6732 3144 57
5539 6925 46
8443 4902 74
849 2035 100
1955 8928 16
2742 4356 6
1641 802 94
9892 9618 57
5371 4073 22
5067 3042 37
6951 6621 76
4851 1672 86
3528 2006 4
142 3069 36
5773 6837 63
9876 2451 48
2583 2785 33
1867 5603 78
6194 2102 15
2359 605 48
8880 5378 11
4334 5704 10
1246 5494 27
9620 2878 8
6226 7419 39
1970 7946 73
3308 7951 53
7333 5122 50
9717 1315 8
53 5409 60
3190 2414 50
5714 4456 26
5709 7019 26
9561 7666 93
3837 8816 14
1595 1997 37
931 7704 53
2277 7874 8
6785 8586 15
8408 4386 6
4156 4432 97
4655 3534 81
2530 1918 29
8164 1556 13
3721 5338 33
5266 7085 31
339 666 22
6923 516 85
4368 8130 55
458 2307 94
6238 9866 19
6623 4218 70
7166 4555 16
2835 7911 16
7348 4663 54
4991 5700 57
9224 5291 6
3925 3491 13
2592 6687 9
5261 3273 34
2461 6939 77
4064 2983 43
3165 884 85
3844 8120 62
7034 5876 17
232 1912 13
8238 1777 32
4753 2555 6
1907 7014 49
329 56 77
5208 9621 86
8904 6903 6
5663 530 44
1088 7025 100
8103 6262 56
9102 2313 1
1140 822 53
2325 8168 28
9803 2558 28
4718 2577 39
9610 6546 61
7751 938 88
4070 877 88
5413 9505 13
8218 4498 39
2772 2043 72
9369 1236 12
3203 2652 23
3318 5030 42
1796 1775 44
3934 3419 46
2390 7019 66
5182 358 55
5731 4528 13
2499 7560 85
4671 5097 17
701 9172 84
9928 7908 35
1262 1097 53
8986 9540 17
848 6172 94
9835 5977 41
5081 1560 66
3349 6683 50
4875 1874 80
9495 7883 64
8432 2213 96
2299 9903 80
2881 3347 8
4998 9541 56
675 4176 23
9646 3731 82
6551 7568 79
6521 8019 76
4963 3727 28
786 7586 56
1166 7862 16
2148 1306 47
565 1875 31
6993 4834 23
1284 5762 27
7793 3000 15
3433 9596 12
4258 6019 96
7742 1579 20
1624 3084 89
1815 2251 7
6014 7145 2
5997 1228 100
4258 6631 64
4208 7849 8
1206 4307 5
2171 8406 17
5017 5034 87
8033 7097 42
7406 3779 87
6940 2377 23
724 3008 83
2722 7278 92
8132 230 28
8972 5822 42
7269 5462 20
3293 8071 86
7383 6642 67
9286 9841 62
642 1585 15
1581 1123 60
4710 3184 43
547 5074 91
4865 7517 47
7041 9324 38
8944 2286 80
307 1334 74
7611 2974 14
7013 4408 14
9873 9536 7
1089 2484 79
5118 1042 12
5647 7688 90
8900 289 81
3060 326 1
2395 6334 16
4967 9596 66
2705 8265 67
7699 6741 50
2139 4584 1
2435 9830 60
8028 1 53
6150 2672 3
3280 7840 88
9844 3369 21
735 10 9
5724 152 98
9745 2585 64
7355 8802 22
289 7252 24
2484 8075 11
8442 6932 73
9701 7402 67
2567 5682 66
7882 4799 60
9188 3452 70
3879 3426 94
7730 1875 50
6862 7990 29
6774 8320 51
4173 8636 99
4508 1714 57
1038 9543 60
976 3296 46
1640 3594 23
3311 8933 33
2433 9411 88
6111 8029 38
977 9342 43
4320 5232 43
3923 3871 41
8255 5246 100
7092 7096 88
132 8355 42
8474 3716 32
11 9204 16
9582 9291 100
9010 2888 40
4592 3302 93
3136 6983 15
8221 3142 84
4997 7375 30
7641 6915 86
5609 1607 48
9169 9068 27
5592 6111 15
8119 570 2
1597 1498 96
7982 6695 19
2229 9556 28
8897 3479 35
4065 3322 13
3470 4288 27
5878 5612 9
6269 8743 32
525 2775 84
9947 859 66
4805 4741 76
9563 4353 37
6895 5384 20
769 4735 94
903 9666 27
1159 2650 55
3749 1467 81
6223 2548 96
5137 2122 78
3458 6093 53
7357 5216 95
706 6622 31
73 972 3
834 2404 18
1025 4972 67
5739 5607 92
1692 4271 42
7055 6185 3
9519 8108 30
2742 1191 60
7385 4239 92
9395 9668 49
4610 9162 2
1822 159 30
2377 2958 21
3353 1958 41
5246 5003 97
8516 8685 77
9144 6878 84
9314 1607 14
6485 7451 92
7483 234 71
361 3809 25
2258 7578 76
2778 2253 15
8858 8570 8
7925 4751 63
1426 9419 77
905 6545 76
228 6886 71
9173 1096 14
2179 9301 93
7125 899 57
8741 3802 31
2113 8018 10
1770 5545 44
6774 7076 21
915 8909 24
5882 7372 51
2657 7707 15
3340 7685 5
8908 2607 65
4351 8075 69
2155 7582 71
2196 37 56
4818 1392 58
5285 7684 22
9093 1144 93
2288 3218 34
6962 3007 95
7505 8663 66
9847 7646 82
996 4638 88
6737 3908 99
9607 8976 95
775 5745 18
4170 1161 41
3983 1762 41
1080 3793 83
9725 5860 66
245 23 32
9963 2000 84
6962 3203 73
5234 1538 92
4403 3071 19
7117 9877 44
4273 4607 64
8026 9139 34
2227 8580 61
7648 9568 97
8355 9428 57
1015 4890 20
4687 4730 65
8160 6024 87
3792 8556 17
8057 9282 6
2091 5351 3
1617 7769 67
6695 673 74
7342 5764 35
5088 3482 54
7536 4435 32
9393 9087 67
5188 5265 71
8721 6253 52
4984 6088 37
2741 2504 33
854 7441 88
3023 5061 2
1441 6518 24
5627 7936 98
1183 3887 52
8266 1340 32
8388 1408 30
2037 8964 5
9741 6603 41
9795 9430 86
8905 6362 74
5223 8118 43
904 7133 64
3459 3185 6
4164 4527 24
891 7000 93
7131 3377 93
1159 2935 75
3748 8760 46
5718 2817 46
1479 358 87
202 9038 22
4908 2074 18
9605 9891 13
2834 2553 27
59 2932 40
9213 6859 73
7721 9135 30
2822 824 13
5418 923 33
9343 2383 90
2014 1860 85
1240 7271 100
8340 8675 14
278 9964 22
1621 9412 62
5630 1125 24
2212 3436 62
3161 4299 51
6159 3790 52
3354 4243 44
8508 9785 48
3104 2274 14
710 8401 21
1053 7671 94
2293 7539 39
6393 8452 32
8899 5793 11
1090 2496 96
6866 8167 52
8540 4585 97
7406 5026 58
6863 3385 86
2119 2340 13
5669 4874 64
594 2694 54
8696 7717 53
9480 5056 81
8844 4446 39
7531 3559 55
7407 1640 22
7702 8110 39
90 7893 64
5387 2571 78
4512 228 89
7094 7674 92
1618 9808 90
7646 4549 30
5233 7377 20
4637 4923 85
6417 4267 99
3596 8020 34
9440 3944 35
8025 4185 66
9018 3201 48
4268 6569 15
8071 461 2
1523 3342 98
9373 2626 75
435 524 26
216 4694 56
4253 8958 83
8495 3945 69
2423 3290 28
3749 8799 85
6347 71 18
4101 3317 28
7792 6137 40
4840 5809 82
374 4028 40
9861 9649 31
1299 465 94
5857 5686 57
2110 4839 51
2718 11 72
1759 7867 11
7419 3469 16
3202 6386 39
7635 3215 62
3622 4636 71
9127 8370 66
968 1906 54
1319 7793 83
6529 6641 23
962 5001 26
5303 7697 60
9833 455 77
7389 3577 70
3369 7499 29
5447 4944 98
657 3184 30
8916 3090 40
1770 2190 8
3778 8275 63
6492 8383 88
3812 6683 93
6996 7466 60
6145 1010 68
9753 649 73
2790 6414 48
5248 1988 89
6716 3627 23
1680 2750 83
9329 7276 80
2973 6320 36
4144 1190 66
2662 8535 56
4690 1592 37
9650 410 17
6301 9907 95
1765 7016 42
6986 8697 16
587 6337 12
3866 3138 56
8263 8172 77
664 278 13
6629 588 84
7244 7477 4
9166 3062 91
2985 3018 38
5599 3447 55
9533 4513 47
6082 1727 66
6316 8000 19
2388 9092 1
5131 3544 22
4532 4446 94
3016 1706 88
5696 931 81
2927 9967 17
3637 6193 66
7247 1596 73
8099 2532 2
2824 5156 42
2898 9022 80
5875 2357 44
6193 3699 8
1578 4173 99
9111 1290 39
8034 609 61
5819 9737 20
8821 1751 72
8376 489 34
6590 7946 99
4621 7431 65
8838 7089 66
6617 78 28
7604 2671 87
4586 2750 87
502 3467 92
8492 2085 50
5992 1639 4
2371 1281 66
9501 629 71
9765 9004 38
9154 8570 60
6952 3911 56
7164 3833 89
4950 8556 71
1784 9318 24
8159 6874 63
2072 2564 79
5601 5147 90
9317 8342 32
742 4548 83
3953 4923 33
3542 9689 48
5198 7673 90
3625 3438 32
1121 7772 65
306 8687 72
6590 9736 91
8044 3562 54
8051 8473 78
7185 5858 58
8621 1110 54
2685 6675 4
7315 5171 70
698 9942 7
9589 1389 98
8737 5891 36
3236 5912 77
9116 6956 72
3238 2008 95
6297 8927 33
3285 3808 49
4197 6296 5
5234 8444 60
6148 1007 22
6632 6177 17
9852 4967 26
7982 1276 47
1356 4489 13
4748 1858 10
337 8980 100
1940 581 79
2119 4909 10
8574 4838 28
9645 3073 59
2452 9867 80
7393 8980 20
3893 9381 44
5924 7641 7
8325 8034 27
8268 4543 72
5702 7179 73
91 6432 69
3018 5183 8
9108 9488 45
2687 8584 92
2825 8745 68
4735 6823 24
946 6263 91
8994 8464 2
2816 8564 99
7883 2449 5
5169 9731 11
7316 3635 43
9485 6513 39
9951 6588 75
8933 8733 70
5043 1250 52
5050 7399 70
6446 2897 97
2157 2909 86
1686 9073 3
7594 4288 5
5717 9984 98
725 2315 17
8294 2845 9
7392 9889 61
7514 4023 97
9845 6057 74
6561 2479 46
2191 7340 22
2688 9001 13
9003 7067 69
4012 3846 52
8367 9661 29
7977 3341 2
6461 631 67
311 3948 79
1685 2001 24
9125 6442 61
1153 9784 75
50 8406 41
3108 9723 40
2378 2300 74
6366 3905 19
541 5490 30
1999 4465 62
1463 6888 16
407 3869 32
7946 1806 98
2438 150 44
6940 4059 53
1878 9620 43
6785 8517 35
8942 976 99
3187 851 6
612 3692 82
1986 8770 24
6173 9749 45
7295 6199 18
745 5533 36
4382 7474 35
8911 6406 28
5267 7319 99
1169 954 54
5724 2844 53
4027 9183 27
2187 9925 33
5091 8619 64
8683 4232 11
634 820 10
5574 9329 8
152 6016 69
2611 6613 52
9805 9937 26
108 7694 27
9229 8391 35
7562 9468 93
7139 4021 2
6112 1221 7
2939 7723 5
3199 9027 9
8200 9490 27
976 8337 72
2261 1985 4
6719 2295 15
8531 2501 97
5163 6241 90
2708 7765 63
3770 9874 60
5901 1288 27
2781 5817 39
1150 6174 16
6138 9265 82
9252 9638 78
6203 4281 21
103 5673 17
5683 9452 57
3584 5642 78
8440 6968 3
5361 2264 65
7035 1945 66
5126 3409 67
4864 2850 23
9974 7781 37
3745 9533 5
1812 992 53
9528 9447 47
6177 7653 23
7390 9370 76
2712 4671 35
8378 3175 99
8342 2563 42
6696 1078 24
9656 8274 60
8657 9429 85
6157 3549 55
7099 7964 93
6446 1562 11
5842 4425 100
5099 7818 82
6604 1415 36
9111 6516 28
3349 444 83
5782 9627 61
5071 6366 55
6504 2337 1
1733 2682 35
7346 9153 97
8352 2409 93
698 1604 58
7528 1483 14
1321 6934 87
1986 172 82
7764 105 74
4066 360 23
1624 1134 85
1108 5774 25
6797 616 26
670 3104 23
1817 7991 80
8862 887 22
9468 7085 52
402 5249 36
6930 4273 60
4381 3998 47
9849 8961 93
6475 9442 48
2871 7481 27
3685 8205 90
4509 3130 25
9260 9006 55
10000 7214 89
9709 4489 4
874 8553 77
2705 3675 55
8372 6643 71
1819 5338 8
180 2860 72
8506 729 82
4671 3973 1
1480 9668 56
7585 6951 58
7844 2248 52
8656 722 14
2066 7335 22
4280 1254 78
9983 5492 96
5280 2845 10
8568 7759 3
6491 4662 42
3792 9368 47
9860 6621 70
3235 554 26
4592 7031 66
3486 3885 70
2041 2663 11
7721 8485 19
8991 8124 85
2604 62 26
2145 2280 7
9014 1651 71
7168 6705 8
7543 5305 86
7248 8867 83
7821 3457 45
4356 5467 25
8306 4463 89
2320 5483 94
4313 6381 8
6124 167 18
1634 439 70
5687 1747 46
1036 1017 57
8746 7463 30
8776 5556 5
1950 1498 90
504 9081 42
8180 2656 35
2590 1491 2
7379 3285 78
4432 9171 29
6438 1114 6
8420 8856 78
4908 1298 26
5217 5276 95
2663 2419 34
6376 3001 72
2149 2473 16
4831 4223 19
4766 3087 90
8829 3645 78
1288 5177 56
320 7199 80
967 5007 12
4694 3913 58
2716 9033 39
1069 7120 59
9827 9525 70
9680 7439 1
4043 1208 65
1990 7257 94
1011 6184 77
9656 3719 72
774 1785 26
6139 1061 89
8008 3052 5
6069 4086 96
2783 2784 60
8966 6672 80
1783 3507 37
9117 493 38
5075 158 56
7439 2523 37
5000 3476 22
8860 7194 43
7739 7821 67
7293 3894 78
1054 4987 84
1312 9137 83
1737 989 88
9164 6967 11
3271 5845 43
4982 1744 82
2683 3005 94
2331 4941 64
5835 8703 73
1538 4424 55
778 998 95
4905 8612 28
4733 6825 48
7247 4755 88
1845 8267 24
2761 3842 26
8129 415 79
5460 7777 22
9140 6890 74
950 2841 49
815 682 4
6381 4075 91
3841 6157 38
3086 2225 93
1270 4531 45
2215 5087 31
6595 2123 10
7753 6984 99
5763 8072 87
323 5854 51
1364 3728 16
1315 3624 87
3229 3866 8
6524 4017 79
3614 7558 4
8423 5851 69
3967 5739 29
969 8709 14
2145 6574 56
8047 4856 13
5227 3375 3
6514 2583 37
1638 2662 10
2052 6905 82
1198 8395 81
377 6178 54
3267 7921 93
5071 9449 53
7619 1705 98
4424 9369 72
5090 6622 7
673 3028 3
8296 3399 23
9684 475 53
148 3310 84
6865 1368 90
9021 3594 52
758 3112 9
2667 1042 89
8387 9130 52
712 6728 92
3825 2735 13
3840 9487 89
8092 62 56
3771 1616 45
4280 1927 85
7607 4840 100
1135 3359 72
970 5943 58
495 9064 52
8556 7189 26
7698 3507 80
873 3977 87
4073 4958 20
9737 944 12
3898 5054 22
3305 292 70
8589 9538 90
2606 9866 85
5140 2490 57
8442 2393 56
1902 5791 40
8016 4646 75
2183 8356 91
8583 7340 64
8688 5032 86
5692 2463 7
1747 9060 87
2802 9345 55
969 2844 1
1334 9309 25
7612 4169 39
3138 7755 89
7172 4237 58
92 1895 2
9835 7277 60
9079 6459 94
7073 6889 44
6752 1245 91
1863 1017 50
5939 7504 16
6488 7949 93
5825 9897 61
9516 5853 61
6318 3938 12
206 9775 34
9554 1884 13
5732 6209 2
2138 8089 42
4397 7669 70
7589 7249 35
7723 1855 43
415 5899 16
9067 9336 4
8380 5390 12
2995 5479 50
4262 4495 27
3884 7597 30
4740 8064 66
2657 9064 6
4054 1603 45
8498 7239 18
7784 6732 26
2518 9263 74
5839 6100 63
4427 6904 89
2745 6401 41
1823 8259 62
2388 528 7
8991 8543 19
5947 4455 88
7159 5730 37
9018 4341 19
6591 3683 40
2128 83 85
8579 8310 82
8915 7491 18
4506 4500 6
9029 4614 32
670 5662 80
6832 1897 46
3711 9686 72
177 3029 40
7542 9167 80
6433 3065 46
1335 396 67
7923 9472 17
6133 1676 11
6433 3169 79
7813 6009 75
8709 4006 37
